,sum_sq,df,F,PR(>F)
C(date_int),3.641382036862707,10.0,9.682484619089486,1.024532115370524e-09
C(before_or_after_tone),0.6695699651022083,1.0,17.80395691217294,7.637800802557465e-05
C(date_int):C(before_or_after_tone),0.06400183593329759,10.0,0.17018175674627994,0.997762932871106
Residual,2.482123379355688,66.0,,
