,subject,date,-20_to_0,0_to_10,date_int,cage
0,2.1,20230526,0.019038461538461535,0.03143589743589743,20230526,2
1,2.1,20230527,0.09219230769230768,0.2141282051282051,20230527,2
2,2.1,20230528,0.12778205128205128,0.3270512820512821,20230528,2
3,2.2,20230526,0.040782051282051285,0.048461538461538466,20230526,2
4,2.2,20230527,0.02880769230769231,0.06946153846153845,20230527,2
5,2.4,20230526,0.044692307692307684,0.03971794871794872,20230526,2
6,2.4,20230527,0.03630769230769231,0.14246153846153847,20230527,2
7,2.4,20230528,0.12096153846153847,0.3176153846153846,20230528,2
