,index,File,Start Date,End Date,Subject,Experiment,Group,Box,Start Time,End Time,MSN,cage
0,./data/2023-05-28_14h33m_Subject 2.4.txt,C:\MED-PC\Data\2023-05-28_14h33m_Subject 2.4.txt,05/28/23,05/28/23,2.4,reward_competition_extention,CAGE2,3,14:33:28,15:40:57,CD1_reward_training,2
1,./data/2023-05-26_12h01m_Subject 2.2.txt,C:\MED-PC\Data\2023-05-26_12h01m_Subject 2.2.txt,05/26/23,05/26/23,2.2,reward_competition_extention,CAGE2,2,12:01:19,13:02:32,CD1_reward_training,2
2,./data/2023-05-27_10h03m_Subject 2.2.txt,C:\MED-PC\Data\2023-05-27_10h03m_Subject 2.2.txt,05/27/23,05/27/23,2.2,reward_competition_extention,CAGE2,4,10:03:25,11:10:12,CD1_reward_training,2
3,./data/2023-05-27_11h19m_Subject 2.4.txt,C:\MED-PC\Data\2023-05-27_11h19m_Subject 2.4.txt,05/27/23,05/27/23,2.4,reward_competition_extention,CAGE2,3,11:19:40,12:23:04,CD1_reward_training,2
4,./data/2023-05-27_10h03m_Subject 2.1.txt,C:\MED-PC\Data\2023-05-27_10h03m_Subject 2.1.txt,05/27/23,05/27/23,2.1,reward_competition_extention,CAGE2,3,10:03:25,11:10:12,CD1_reward_training,2
5,./data/2023-05-26_12h01m_Subject 2.4.txt,C:\MED-PC\Data\2023-05-26_12h01m_Subject 2.4.txt,05/26/23,05/26/23,2.4,reward_competition_extention,CAGE2,4,12:01:19,13:02:32,CD1_reward_training,2
6,./data/2023-05-26_12h01m_Subject 2.1.txt,C:\MED-PC\Data\2023-05-26_12h01m_Subject 2.1.txt,05/26/23,05/26/23,2.1,reward_competition_extention,CAGE2,1,12:01:19,13:02:32,CD1_reward_training,2
7,./data/2023-05-28_14h33m_Subject 2.1.txt,C:\MED-PC\Data\2023-05-28_14h33m_Subject 2.1.txt,05/28/23,05/28/23,2.1,reward_competition_extention,CAGE2,4,14:33:28,15:40:57,CD1_reward_training,2
