subject,20230526,20230527,20230528,cage
2.1,0.1794871794871795,0.5128205128205128,0.8974358974358975,2
2.2,0.20512820512820512,0.358974358974359,,2
2.4,0.23076923076923078,0.5384615384615384,0.7948717948717948,2
